"","Description","CaloriesPKG"
145,"Carrying 16 to 24 lbs, upstairs",1.2348534447761201
146,"Carrying 25 to 49 lbs, upstairs",1.6478252656716401
147,"Standing, playing with children, light",0.576806543283582
148,"Walk/run, playing with children, moderate",0.8232356298507459
149,"Walk/run, playing with children, vigorous",1.02972154029851
150,"Carrying small children",0.6174267223880601
151,"Loading, unloading car",0.6174267223880601
152,"Climbing hills, carrying up to 9 lbs",1.4413393552238798
153,"Climbing hills, carrying 10 to 20 lb",1.5449208119403002
154,"Climbing hills, carrying 21 to 42 lb",1.6478252656716401
155,"Climbing hills, carrying over 42 lb",1.85295717014925
156,"Walking downstairs",0.6174267223880601
157,"Hiking, cross country",1.2348534447761201
158,"Bird watching",0.515199271641791
159,"Marching, rapidly, military",1.33843490149254
160,"Children's games, hopscotch, dodgeball",1.02972154029851
161,"Pushing stroller or walking with children",0.515199271641791
162,"Pushing a wheelchair",0.8232356298507459
163,"Race walking",1.33843490149254
164,"Rock climbing, mountain climbing",1.6478252656716401
165,"Walking using crutches",1.02972154029851
166,"Walking the dog",0.6174267223880601
167,"Walking, under 2.0 mph, very slow",0.41161781492537297
168,"Walking 2.0 mph, slow",0.515199271641791
169,"Walking 2.5 mph",0.6174267223880601
170,"Walking 3.0 mph, moderate",0.679710997014925
171,"Walking 3.5 mph, brisk pace",0.782615450746269
172,"Walking 3.5 mph, uphill",1.2348534447761201
173,"Walking 4.0 mph, very brisk",1.02972154029851
174,"Walking 4.5 mph",1.29713771940299
175,"Walking 5.0 mph",1.6478252656716401
176,"Boating, power, speed boat",0.515199271641791
177,"Canoeing, camping trip",0.8232356298507459
178,"Canoeing, rowing, light",0.6174267223880601
179,"Canoeing, rowing, moderate",1.4413393552238798
180,"Canoeing, rowing, vigorous",2.47106089552239
181,"Crew, sculling, rowing, competition",2.47106089552239
182,"Kayaking",1.02972154029851
183,"Paddle boat",0.8232356298507459
184,"Windsurfing, sailing",0.6174267223880601
185,"Sailing, competition",1.02972154029851
186,"Sailing, yachting, ocean sailing",0.6174267223880601
187,"Skiing, water skiing",1.2348534447761201
188,"Ski mobiling",1.4413393552238798
189,"Skin diving, fast",3.29497352835821
190,"Skin diving, moderate",2.57464235223881
191,"Skin diving, scuba diving",1.4413393552238798
192,"Snorkeling",1.02972154029851
193,"Surfing, body surfing or board surfing",0.6174267223880601
194,"Whitewater rafting, kayaking, canoeing",1.02972154029851
195,"Swimming laps, freestyle, fast",2.05944308059702
196,"Swimming laps, freestyle, slow",1.4413393552238798
197,"Swimming backstroke",1.4413393552238798
198,"Swimming breaststroke",2.05944308059702
199,"Swimming butterfly",2.2652519880597
200,"Swimming leisurely, not laps",1.2348534447761201
201,"Swimming sidestroke",1.6478252656716401
202,"Swimming synchronized",1.6478252656716401
203,"Swimming, treading water, fast, vigorous",2.05944308059702
204,"Swimming, treading water, moderate",0.8232356298507459
205,"Water aerobics, water calisthenics",0.8232356298507459
206,"Water polo",2.05944308059702
207,"Water volleyball",0.6174267223880601
208,"Water jogging",1.6478252656716401
209,"Diving, springboard or platform",0.6174267223880601
210,"Ice skating, < 9 mph",1.13262599402985
211,"Ice skating, average speed",1.4413393552238798
212,"Ice skating, rapidly",1.85295717014925
213,"Speed skating, ice, competitive",3.0891646208955197
214,"Cross country snow skiing, slow",1.4413393552238798
215,"Cross country skiing, moderate",1.6478252656716401
216,"Cross country skiing, vigorous",1.85295717014925
217,"Cross country skiing, racing",2.8826787104477596
218,"Cross country skiing, uphill",3.39787798208955
219,"Snow skiing, downhill skiing, light",1.02972154029851
220,"Downhill snow skiing, moderate",1.2348534447761201
221,"Downhill snow skiing, racing",1.6478252656716401
222,"Sledding, tobagganing, luge",1.4413393552238798
223,"Snow shoeing",1.6478252656716401
224,"Snowmobiling",0.721008179104478
225,"General housework",0.721008179104478
226,"Cleaning gutters",1.02972154029851
227,"Painting",0.927494089552239
228,"Sit, playing with animals",0.515199271641791
229,"Walk / run, playing with animals",0.8232356298507459
230,"Bathing dog",0.721008179104478
231,"Mowing lawn, walk, power mower",1.13262599402985
232,"Mowing lawn, riding mower",0.515199271641791
233,"Walking, snow blower",0.721008179104478
234,"Riding, snow blower",0.6174267223880601
235,"Shoveling snow by hand",1.2348534447761201
236,"Raking lawn",0.8855199044776121
237,"Gardening, general",0.8232356298507459
238,"Bagging grass, leaves",0.8232356298507459
239,"Watering lawn or garden",0.31006736716417893
240,"Weeding, cultivating garden",0.927494089552239
241,"Carpentry, general",0.721008179104478
242,"Carrying heavy loads",1.6478252656716401
243,"Carrying moderate loads upstairs",1.6478252656716401
244,"General cleaning",0.721008179104478
245,"Cleaning, dusting",0.515199271641791
246,"Taking out trash",0.6174267223880601
247,"Walking, pushing a wheelchair",0.8232356298507459
248,"Teach physical education,exercise class",0.8232356298507459
